id,code,province,district,township
l10n_pa_edi_location_4_1_3,4-1-3,CHIRIQUI,ALANJE,EL TEJAR
l10n_pa_edi_location_4_1_4,4-1-4,CHIRIQUI,ALANJE,GUARUMAL
l10n_pa_edi_location_4_1_5,4-1-5,CHIRIQUI,ALANJE,PALO GRANDE
l10n_pa_edi_location_4_1_6,4-1-6,CHIRIQUI,ALANJE,QUEREVALO
l10n_pa_edi_location_4_1_7,4-1-7,CHIRIQUI,ALANJE,SANTO TOMAS
l10n_pa_edi_location_4_1_8,4-1-8,CHIRIQUI,ALANJE,CANTA GALLO
l10n_pa_edi_location_4_1_9,4-1-9,CHIRIQUI,ALANJE,NUEVO MEXICO
l10n_pa_edi_location_4_2_1,4-2-1,CHIRIQUI,BARU,PUERTO ARMUELLES (CABECERA)
l10n_pa_edi_location_4_2_2,4-2-2,CHIRIQUI,BARU,LIMONES
l10n_pa_edi_location_4_2_3,4-2-3,CHIRIQUI,BARU,PROGRESO
l10n_pa_edi_location_4_2_4,4-2-4,CHIRIQUI,BARU,BACO
l10n_pa_edi_location_4_2_5,4-2-5,CHIRIQUI,BARU,RODOLFO AGUILAR DELGADO
l10n_pa_edi_location_4_3_1,4-3-1,CHIRIQUI,BOQUERON,BOQUERON (CABECERA)
l10n_pa_edi_location_4_3_2,4-3-2,CHIRIQUI,BOQUERON,BAGALA
l10n_pa_edi_location_4_3_3,4-3-3,CHIRIQUI,BOQUERON,CORDILLERA
l10n_pa_edi_location_4_3_4,4-3-4,CHIRIQUI,BOQUERON,GUABAL
l10n_pa_edi_location_4_3_5,4-3-5,CHIRIQUI,BOQUERON,GUAYABAL
l10n_pa_edi_location_4_3_6,4-3-6,CHIRIQUI,BOQUERON,PARAISO
l10n_pa_edi_location_4_3_7,4-3-7,CHIRIQUI,BOQUERON,PEDREGAL
l10n_pa_edi_location_4_3_8,4-3-8,CHIRIQUI,BOQUERON,TIJERAS
l10n_pa_edi_location_4_4_1,4-4-1,CHIRIQUI,BOQUETE,BAJO BOQUETE (CABECERA)
l10n_pa_edi_location_4_4_2,4-4-2,CHIRIQUI,BOQUETE,CALDERA
l10n_pa_edi_location_4_4_3,4-4-3,CHIRIQUI,BOQUETE,PALMIRA
l10n_pa_edi_location_4_4_4,4-4-4,CHIRIQUI,BOQUETE,ALTO BOQUETE
l10n_pa_edi_location_4_4_5,4-4-5,CHIRIQUI,BOQUETE,JARAMILLO
l10n_pa_edi_location_4_4_6,4-4-6,CHIRIQUI,BOQUETE,LOS NARANJOS
l10n_pa_edi_location_4_5_1,4-5-1,CHIRIQUI,BUGABA,LA CONCEPCION (CABECERA)
l10n_pa_edi_location_4_5_2,4-5-2,CHIRIQUI,BUGABA,ASERRIO DE GARICHE
l10n_pa_edi_location_4_5_3,4-5-3,CHIRIQUI,BUGABA,BUGABA
l10n_pa_edi_location_4_5_4,4-5-4,CHIRIQUI,BUGABA,CERRO PUNTA
l10n_pa_edi_location_4_5_5,4-5-5,CHIRIQUI,BUGABA,GOMEZ
l10n_pa_edi_location_4_5_6,4-5-6,CHIRIQUI,BUGABA,LA ESTRELLA
l10n_pa_edi_location_4_5_7,4-5-7,CHIRIQUI,BUGABA,SAN ANDRES
l10n_pa_edi_location_4_5_8,4-5-8,CHIRIQUI,BUGABA,SANTA MARTA
l10n_pa_edi_location_4_5_9,4-5-9,CHIRIQUI,BUGABA,SANTA ROSA
l10n_pa_edi_location_4_5_10,4-5-10,CHIRIQUI,BUGABA,SANTO DOMINGO
l10n_pa_edi_location_4_5_11,4-5-11,CHIRIQUI,BUGABA,SORTOVA
l10n_pa_edi_location_4_5_12,4-5-12,CHIRIQUI,BUGABA,VOLCAN
l10n_pa_edi_location_4_5_13,4-5-13,CHIRIQUI,BUGABA,EL BONGO
l10n_pa_edi_location_4_6_1,4-6-1,CHIRIQUI,DAVID,DAVID (CABECERA)
l10n_pa_edi_location_4_6_2,4-6-2,CHIRIQUI,DAVID,BIJAGUAL
